GEN.040.006	Dual
1TI.002.005	Singular
MAT.18.020	Paucal
GEN.001.026	Singular
1SA.006.008	Dual
DAN.003.025	Plural
LUK.005.019	Plural
MAT.20.024	Dual
LUK.002.011	Singular
MAT.26.037	Dual
ISA.037.036	Singular
EXO.019.015	Plural
EZK.01.010	Quadrial
JDG.002.012	Plural
PSA.002.001	Plural
MAT.18.019	Dual
ISA.053.005	Singular
MRK.008.007	Paucal
DAN.003.024	Plural
EZK.01.006	Quadrial
GEN.040.008	Dual
MRK.16.015	Plural
GEN.011.007	Plural
LUK.022.058	Paucal
LUK.005.018	Plural
JER.010.010	Plural
DAN.001.007	Quadrial
ROM.012.005	Plural
GEN.006.019	Dual
JER.029.011	Singular
PSA.115.007	Dual
EXO.012.022	Dual
HEB.010.025	Paucal
LEV.16.008	Dual
DAN.007.003	Quadrial
1KI.18.021	Dual
MAT.026.034	Plural
EZK.01.006	Quadrial
1SA.004.004	Plural
GEN.003.022	Singular
ISA.040.015	Plural
EXO.025.012	Quadrial
COL.001.015	Singular
1SA.025.039	Plural
MAT.018.020	Dual
JHN.010.030	Singular
JDG.014.012	Plural
MAT.24.040	Dual
ROM.008.014	Plural
GEN.001.026	Singular
JER.003.014	Dual
1SA.017.045	Singular
MAT.14.019	Dual
PSA.034.007	Singular
PRO.022.016	Singular
PSA.050.010	Plural
2KI.04.01	Dual
GEN.001.026	Singular
MAT.025.021	Plural
HEB.001.003	Singular
MAT.025.023	Plural
GAL.003.028	Singular
GEN.001.026	Singular
PRO.001.007	Singular
JDG.019.014	Plural
MAT.18.09	Dual
DAN.003.019	Plural
MAT.18.08	Dual
JDG.019.019	Singular
DEU.006.004	Singular
EXO.025.027	Plural
GAL.002.020	Singular
GEN.001.026	Singular
MAT.010.016	Plural
EXO.028.021	Plural
GEN.019.001	Dual
1SA.016.010	Singular
GEN.025.023	Dual
SNG.004.005	Dual
EXO.016.018	Singular
ISA.006.008	Plural
DAN.001.015	Quadrial
2KI.05.17	Dual
LUK.005.003	Paucal
MAT.007.014	Paucal
LUK.009.028	Plural
DAN.008.022	Quadrial
LUK.006.020	Plural
LUK.008.013	Paucal
MAT.20.021	Dual
DAN.006.002	Plural
GEN.018.005	Plural
PSA.019.001	Plural
MRK.009.09	Plural
ROM.001.016	Singular
MAT.027.027	Singular
LUK.010.002	Plural
1KI.18.023	Dual
DAN.007.001	Quadrial
NEH.006.004	Quadrial
